datetime,observation,forecast_lower_95,forecast_lower_50,forecast_median,forecast_upper_50,forecast_upper_95,analysis_lower_95,analysis_lower_50,analysis_median,analysis_upper_50,analysis_upper_95,K,P_f,P_a
2026-05-07,NA,1.0452335956011565,1.6318964473106323,2.2105331482566215,2.6621392182116796,3.621184971668795,1.0452335956011565,1.6318964473106323,2.2105331482566215,2.6621392182116796,3.621184971668795,0,0.4843619187744132,0.4843619187744132
2026-05-08,NA,0.7806050183713352,1.7700360757078162,2.2796944205716203,2.5318524431558997,3.5462681738681625,0.7806050183713352,1.7700360757078162,2.2796944205716203,2.5318524431558997,3.5462681738681625,0,0.46486183480208515,0.46486183480208515
2026-05-09,NA,0.8918848223823608,1.8369651299668586,2.2926825765171692,2.472269321835063,3.219591746949411,0.8918848223823608,1.8369651299668586,2.2926825765171692,2.472269321835063,3.219591746949411,0,0.35202663489692143,0.35202663489692143
2026-05-10,NA,0.6784481495919414,1.6111946827420356,1.9358207706376198,2.4083769401473587,3.2948834927676613,0.6784481495919414,1.6111946827420356,1.9358207706376198,2.4083769401473587,3.2948834927676613,0,0.42243682644542957,0.42243682644542957
2026-05-11,NA,0.6255531339149332,1.397297463435073,2.0324947556542363,2.514099699161882,3.2045951406442668,0.6255531339149332,1.397297463435073,2.0324947556542363,2.514099699161882,3.2045951406442668,0,0.4930571766068535,0.4930571766068535
2026-05-12,NA,0.5998578884723973,1.4770681968123593,1.928324807958032,2.6306422455019125,3.435074230598623,0.5998578884723973,1.4770681968123593,1.928324807958032,2.6306422455019125,3.435074230598623,0,0.5656794106295955,0.5656794106295955
2026-05-13,NA,0.775721814658396,1.5675866384306483,2.152334487059336,2.4612493379456826,3.307167637433067,0.775721814658396,1.5675866384306483,2.152334487059336,2.4612493379456826,3.307167637433067,0,0.41297922892364114,0.41297922892364114
2026-05-14,NA,0.8500350452813998,1.5137346396124807,2.026303234973093,2.2723910854976928,2.8987589440155523,0.8500350452813998,1.5137346396124807,2.026303234973093,2.2723910854976928,2.8987589440155523,0,0.2686650404519583,0.2686650404519583
2026-05-15,NA,0.7549856903082042,1.496486049059514,2.035310041042562,2.5369513894443823,3.111178308624382,0.7549856903082042,1.496486049059514,2.035310041042562,2.5369513894443823,3.111178308624382,0,0.39948464031518244,0.39948464031518244
2026-05-16,NA,0.8029165192904524,1.6874585801317796,1.9922843369705183,2.6561382006903322,3.562001943186636,0.8029165192904524,1.6874585801317796,1.9922843369705183,2.6561382006903322,3.562001943186636,0,0.5258974345994903,0.5258974345994903
2026-05-17,NA,0.74727902967399,1.5136389583006218,1.9915108757201534,2.688859585833824,3.598724311999919,0.74727902967399,1.5136389583006218,1.9915108757201534,2.688859585833824,3.598724311999919,0,0.6503831575737661,0.6503831575737661
