datetime,p05,p25,p50,p75,p95
2026-08-22,0.44061588477921354,1.426306564118653,2.1616277107376587,2.9075031198066146,3.67714566117378
2026-08-23,1.0549498132199233,1.60377835329849,2.256447543338234,2.603528984138552,3.6576610168178627
2026-08-24,0.9816791549027473,1.5142543713021448,2.019406627992906,2.6350127345562,3.2348973893416484
2026-08-25,0.03468943474590791,1.5559863831725338,1.9754079899308536,2.4458324566613356,2.969653417573225
2026-08-26,0.7456449098557967,1.5321543814301766,2.048734784715879,2.538661292304524,3.0926087886513405
2026-08-27,0.6056887622934307,1.3072780760639673,2.105212955643414,2.7727647232923482,3.1845334707560298
2026-08-28,0.7620680984126427,1.5325007727395143,2.1182973279482415,2.574765181274236,3.3423812058762477
2026-08-29,0.9623327346772924,1.4543298655079222,2.1738411992363504,2.458029180760448,3.3454554011733704
2026-08-30,0.7532244934110168,1.348789174827943,2.091735317263523,2.4493589965084137,3.1713881155829338
2026-08-31,0.8716688076801234,1.3836909934829733,1.9663862271523465,2.3342239012783406,3.007300481787322
2026-09-01,0.6660868464095241,1.502763900924149,1.8030516659562816,2.3424724377268267,3.042538916850336
2026-09-02,0.6688774201390346,1.166791168457232,1.5910399267761,2.310190756813057,2.9860921509141427
2026-09-03,0.43516690278313863,0.9544967938050395,1.79916856877486,2.459426496069711,3.025942056816265
2026-09-04,0.48987061313330316,1.0825155286919723,1.8313132148262166,2.3227473686278506,3.190309050196598
2026-09-05,0.2673193392055828,1.486529388054302,1.9175053627493894,2.548720781755537,3.482133667831741
2026-09-06,0.2592962343604047,1.4041233747684823,1.886367240939428,2.554936359335573,3.2989041848678653
2026-09-07,0.4941450591494344,1.4448899153764865,2.172075311778392,2.487214899066207,3.2304383620348505
2026-09-08,0.3780291032667956,1.560730861793418,2.2221054331496495,2.8141023613994514,3.3851469849547025
2026-09-09,1.1816442097286304,1.5220546294510346,2.036837131903073,2.5047125400434744,3.350488214625863
2026-09-10,0.7742782084608989,1.2969526641593543,2.1989275354177,2.77196233208475,2.9327264915950506
2026-09-11,0.9432994681294988,1.540049782907235,2.1183708904190963,2.7399961757185993,3.0929529932321067
2026-09-12,1.1974345241672215,1.6666304865593835,2.149383131312723,2.9448404236376646,3.6408902668754175
2026-09-13,0.868105222408976,1.6347297262663558,2.196030223141504,2.7142796084326766,3.2460702738456586
2026-09-14,0.9195840192075454,1.4743578190548206,2.2538124571473634,2.8390922931496716,3.366755766409732
2026-09-15,1.0304548953198895,1.8121333421361614,2.0080858499764873,2.922683306960937,3.6007292888232874
2026-09-16,1.2121978008865968,1.7723777021886407,2.312431113519854,2.9353400365711955,3.902203214910126
2026-09-17,1.3515158115258061,2.10606365947462,2.5119350800963445,3.0946661940248763,3.5161907878475587
2026-09-18,1.3598477592349845,1.8063005124882883,2.142234716431582,3.0147441456165103,3.7161330423867436
2026-09-19,1.1418818245321254,1.9568373264445411,2.4645474074667786,3.0075819736704563,3.871015331332113
2026-09-20,1.3400217794072318,2.0864094734171084,2.5527803398555373,3.09824709183518,3.6228956096839564
