datetime,p05,p25,p50,p75,p95
2026-06-08,0,0.7670200309582612,1.5023411775595759,2.2482165866157136,3.0178591279889275
2026-06-09,0.561947888222094,1.1107764282970194,1.7634456183306801,2.1105270591343688,3.1646590918236526
2026-06-10,0.585901823768564,1.118477040158612,1.6236292968473849,2.239235403415935,2.839120058188666
2026-06-11,0,1.211217076729539,1.630638683474182,2.101063150221395,2.6248841111293504
2026-06-12,0.420952209965312,1.2074616815407053,1.7240420848252098,2.2139685924151236,2.7679160887612957
2026-06-13,0.28037438689290106,0.9819637006636237,1.7798985802389884,2.4474503478905882,2.859219095355123
2026-06-14,0.4222901101009914,1.1927227844248123,1.7785193396374557,2.2349871929599345,3.0026032175631427
2026-06-15,0.5988484799102772,1.0908456107411175,1.8103569444670895,2.09454492599189,2.9819711464041716
2026-06-16,0.35988197071854877,0.9554466521353907,1.6983927945699757,2.0560164738158604,2.7780455928897654
2026-06-17,0.4443982800845826,0.9564204658879372,1.539115699557229,1.9069533736825526,2.580029954192245
2026-06-18,0.20222680680100757,1.038903861315491,1.3391916263474894,1.8786123981185114,2.5786788772422664
2026-06-19,0.16672402486504123,0.6646377731832446,1.08888653150225,1.8080373615391183,2.4839387556402266
2026-06-20,0,0.4130026471287255,1.2576744220987042,1.9179323493935272,2.4844479101401458
2026-06-21,0,0.501088276773679,1.2498859629078152,1.7413201167096208,2.6088817982785164
2026-06-22,0,0.8648970081911591,1.2958729828863178,1.9270884018924315,2.8605012879686686
2026-06-23,0,0.742244025808545,1.2244878919796163,1.8930570103756765,2.6370248359079316
2026-06-24,0,0.7428915545942282,1.470076950996114,1.785216538283931,2.528440001252621
2026-06-25,0,0.818870739309188,1.4802453106654303,2.072242238915231,2.643286862470484
2026-06-26,0.4002816306990933,0.7406920504214716,1.2554745528735474,1.7233499610139211,2.5691256355963072
2026-06-27,0,0.47653060082623966,1.3785054720846244,1.9515402687516508,2.1123044282619587
2026-06-28,0.08433206891833034,0.6810823836960723,1.259403491207935,1.8810287765074394,2.2339855940209423
2026-06-29,0.3004985463486688,0.7696945087408363,1.252447153494176,2.0479044458191153,2.7439542890568713
2026-06-30,0.03950452714127539,0.7004585733128992,1.261759070188047,1.7800084554792206,2.3117991208921995
2026-07-01,0.06260376630062159,0.5034373014048161,1.282891939497359,1.8681717754996665,2.395835248759729
2026-07-02,0.02428866561272336,0.8052985725852473,1.001251080425576,1.9158485374100214,2.593894519272373
2026-07-03,0.17023083136406092,0.7304107326661048,1.2704641439973188,1.893373067048659,2.860236245387589
2026-07-04,0.27524374873489477,1.029791596683709,1.4356630173054326,2.0183941312339653,2.439918725056647
2026-07-05,0.25014118403232166,0.6965939372856254,1.032528141228919,1.9050375704138474,2.60642646718408
2026-07-06,0.03628809774857422,0.814608900270485,1.3223189812927227,1.8653535474964005,2.7287869051580573
2026-07-07,0.16622496015806287,0.9126126541679394,1.3789835206063683,1.9244502725860113,2.449098790434787
